pressure,extension,episode_index
0.0,0.0005614373,0
129.5545334529379,0.00072766276,0
517.7016914382475,0.0012437658,0
1162.8942055262742,0.0019802663,0
2062.5601490970366,0.0030494842,0
3213.113189794116,0.004312325,0
4609.966885697511,0.0057880534,0
6247.552968226468,0.0074308407,0
8119.343538891415,0.009154326,0
10217.877091412214,0.011068435,0
12534.78825547095,0.01293477,0
15060.841143531907,0.015050465,0
17785.966167798448,0.017016329,0
20699.300180543803,0.01925794,0
23789.22977780449,0.021319682,0
27043.43759381509,0.02366201,0
30448.95140164141,0.025845185,0
33992.195824282186,0.028250191,0
37659.04645010403,0.030655561,0
41434.88613688941,0.03307315,0
45304.663280053275,0.035653368,0
49252.9518127541,0.03828599,0
53264.01269872135,0.041076124,0
57321.85667267098,0.043930877,0
61410.307978206976,0.046757843,0
65513.06884913137,0.04976532,0
69613.78447712105,0.05274325,0
73696.10820679113,0.055976026,0
77743.76669825858,0.05913303,0
81740.62479744828,0.062478133,0
85670.74985555049,0.06571089,0
89518.47524123245,0.06895751,0
93268.46279242655,0.07218987,0
96905.76395874358,0.07534337,0
100415.87939077959,0.078456655,0
103784.81673877564,0.08149684,0
106999.14643022863,0.08428602,0
110046.05520410657,0.08697196,0
112913.39718826563,0.08962755,0
115589.74231645945,0.09205342,0
118064.42189193594,0.09431525,0
120327.57111599215,0.09639486,0
122370.16841195556,0.098279044,0
124184.07138783505,0.09995814,0
125762.04929428388,0.10143269,0
127097.81184848766,0.102693155,0
128186.0343090767,0.10373307,0
129022.37870210718,0.1044443,0
129603.5111134977,0.10498669,0
129927.11497898883,0.10537774,0
129991.90031864773,0.10533572,0
129797.60887910656,0.105209924,0
129345.01516303621,0.10477025,0
128635.92334175145,0.1040912,0
127673.16006325476,0.10321139,0
126460.56318438836,0.10206275,0
125002.96647201094,0.100710586,0
123306.18033418513,0.0991032,0
121376.96865818644,0.09741501,0
119223.02184766464,0.09533425,0
116852.92616643876,0.093251504,0
114276.12951113094,0.09082321,0
111502.90374907915,0.0883378,0
108544.30377166058,0.0856577,0
105412.12342625219,0.08290216,0
102118.84850249518,0.07995044,0
98677.60696027505,0.07692132,0
95102.11659782259,0.07375158,0
91406.63036854628,0.070581436,0
87605.87956457885,0.06735744,0
83715.01509352583,0.064050965,0
79749.54708250338,0.060785633,0
75725.28305022193,0.057555456,0
71658.26489357985,0.054422874,0
67564.70493995643,0.05131777,0
63460.92132011944,0.04826621,0
59363.272919369214,0.04530845,0
55288.09416622306,0.042390976,0
51251.629918591745,0.039681446,0
47269.97070701079,0.036956012,0
43358.98859306553,0.034386516,0
39534.27389869795,0.031871095,0
35811.073058610215,0.029432358,0
32204.227843503446,0.027059965,0
28728.116196426374,0.024748113,0
25396.594918076407,0.022493102,0
22222.94442952756,0.020289041,0
19219.81583257632,0.01813699,0
16399.180478738934,0.016033303,0
13772.28224793249,0.013986024,0
11349.592727071547,0.012001353,0
9140.769467250728,0.010099821,0
7154.617485913288,0.008288244,0
5399.054167468741,0.006589308,0
3881.0777022760813,0.005032241,0
2606.739189804299,0.0036518723,0
1581.118517174713,0.0024865207,0
808.3041092409621,0.0015739041,0
291.37663092812,0.00094629155,0
32.396706798703235,0.0006266437,0
32.39670679871051,0.00062664994,0
291.3766309281127,0.00094629655,0
808.3041092409549,0.0015738531,0
1581.1185171747056,0.0024862436,0
2606.739189804299,0.0036510264,0
3881.077702276096,0.005030328,0
5399.054167468734,0.006585849,0
7154.617485913281,0.008282936,0
9140.769467250713,0.01009275,0
11349.592727071533,0.01199324,0
13772.282247932511,0.01397771,0
16399.180478738912,0.016025908,0
19219.815832576307,0.01813046,0
22222.944429527546,0.020285467,0
25396.594918076393,0.022490988,0
28728.116196426403,0.024749406,0
32204.227843503475,0.02706191,0
35811.07305861019,0.029437793,0
39534.27389869794,0.031870246,0
43358.98859306551,0.034392472,0
47269.97070701077,0.036969688,0
51251.629918591774,0.03965154,0
55288.09416622304,0.04243101,0
59363.27291936919,0.045303684,0
63460.92132011942,0.04826385,0
67564.7049399564,0.05128789,0
71658.26489357988,0.054397374,0
75725.2830502219,0.05760694,0
79749.54708250336,0.060845777,0
83715.01509352586,0.064096175,0
87605.87956457883,0.067354776,0
91406.6303685463,0.07060449,0
95102.11659782256,0.07377409,0
98677.60696027504,0.076894045,0
102118.8485024952,0.07993534,0
105412.12342625216,0.082901664,0
108544.3037716606,0.08569348,0
111502.9037490791,0.08833682,0
114276.12951113096,0.09078966,0
116852.92616643879,0.09319483,0
119223.02184766463,0.09543616,0
121376.96865818647,0.09736843,0
123306.1803341851,0.09914745,0
125002.96647201094,0.10072094,0
126460.56318438837,0.10207731,0
127673.16006325476,0.10321052,0
128635.92334175145,0.10411127,0
129345.01516303621,0.1047756,0
129797.60887910656,0.10520056,0
129991.90031864773,0.10538285,0
129927.11497898883,0.10532078,0
129603.5111134977,0.10501372,0
129022.37870210719,0.10446747,0
128186.0343090767,0.10368422,0
127097.81184848768,0.10266566,0
125762.04929428389,0.10141945,0
124184.07138783502,0.09995182,0
122370.16841195556,0.098270826,0
120327.57111599215,0.0962783,0
118064.42189193597,0.09425128,0
115589.74231645945,0.091988936,0
112913.3971882656,0.08953453,0
110046.05520410658,0.08699407,0
106999.14643022862,0.08430564,0
103784.81673877567,0.0814389,0
100415.87939077959,0.07845915,0
96905.76395874356,0.075379096,0
93268.46279242657,0.072143935,0
89518.47524123243,0.068965815,0
85670.74985555053,0.065700136,0
81740.62479744828,0.062456027,0
77743.76669825852,0.059237972,0
73696.10820679116,0.055960324,0
69613.78447712101,0.052849133,0
65513.06884913141,0.049753126,0
61410.30797820697,0.046756662,0
57321.85667267105,0.043850254,0
53264.01269872137,0.04107597,0
49252.951812754065,0.038304504,0
45304.66328005331,0.035680033,0
41434.8861368894,0.0331313,0
37659.046450104084,0.030640274,0
33992.195824282186,0.028234491,0
30448.95140164138,0.025892435,0
27043.437593815128,0.023608925,0
23789.22977780448,0.021381017,0
20699.300180543847,0.019201173,0
17785.966167798455,0.01707102,0
15060.841143531885,0.01499641,0
12534.788255470972,0.012979401,0
10217.877091412207,0.0110350745,0
8119.343538891437,0.00917701,0
6247.552968226475,0.007419333,0
4609.966885697497,0.005788114,0
3213.113189794123,0.0043154815,0
2062.5601490970294,0.0030383724,0
1162.8942055262887,0.0019953798,0
517.7016914382475,0.0012220868,0
129.55453345293063,0.0007464665,0
0.0,0.00058627146,0
6959.8182543421535,0.008101111,0
77913.50650167897,0.059382785,0
90312.19225006227,0.0696595,0
96554.36958394364,0.07504071,0
0.0,0.0005864362,0
87924.54290429193,0.067649186,0
125582.5405878697,0.10126609,0
123540.89114713318,0.09936851,0
112725.70696669444,0.08942841,0
111407.80649320553,0.08828834,0
124104.3327436693,0.099883884,0
110497.84512526923,0.08749163,0
108905.10673582478,0.086032204,0
122874.06772806156,0.09874389,0
110804.23114825308,0.08766868,0
99465.37819359644,0.07762344,0
61205.680677207296,0.046656802,0
66081.34920782676,0.050224848,0
67482.65758812515,0.05125081,0
75736.64228895858,0.057714958,0
78673.64165329114,0.059920564,0
8347.574793116764,0.009384914,0
3145.8651971814543,0.004243312,0
0.0,0.00058640365,0
0.0,0.0005864089,0
2669.9221468960022,0.0037209485,0
7575.447378190045,0.008678852,0
